,L25,L45,L75,a25,a45,a75,b25,b45,b75,Ê±¼ä
No.1,89.11,81.05,76.92,-1.26,-1.25,-1.23,2.33,5.36,5.49,2020/07/15 10:06
No.2,91.22,77.14,70.92,-1.72,-0.98,-1.05,-0.16,2.35,2.72,2020/07/15 10:06
No.3,89.53,78.43,73.11,-1.68,-1.19,-1.30,-0.04,2.15,2.41,2020/07/15 10:06
No.4,93.35,67.15,46.85,0.13,0.62,1.23,2.53,1.71,2.28,2020/07/15 10:06
No.5,89.47,75.75,73.94,-1.96,-1.15,-1.43,-1.16,1.38,1.87,2020/07/15 10:06
No.6,90.21,81.08,77.43,-1.30,-0.87,-0.90,3.32,5.89,6.98,2020/07/15 10:07
No.7,90.56,90.23,84.70,-1.23,-1.31,-1.28,2.49,2.47,2.18,2020/07/15 10:07
No.8,89.81,81.51,75.55,-1.33,-0.97,-1.00,3.47,6.17,6.67,2020/07/15 10:07
No.9,90.98,82.18,76.77,-1.33,-0.90,-0.95,3.05,5.63,6.33,2020/07/15 10:07
No.10,91.44,90.97,83.38,-1.02,-1.07,-1.04,2.85,2.87,2.54,2020/07/15 10:08
No.11,93.13,92.78,85.21,-0.90,-0.95,-0.87,2.33,2.33,2.10,2020/07/15 10:08
No.12,94.08,78.13,69.90,-1.48,-0.82,-0.78,-0.99,1.65,2.51,2020/07/15 10:08
No.13,94.04,77.53,69.06,-1.57,-0.88,-0.81,-1.86,1.41,2.34,2020/07/15 10:08
No.14,89.03,82.47,76.02,-1.32,-0.97,-1.04,3.29,5.95,5.86,2020/07/15 10:09
No.15,90.22,81.27,76.61,-1.27,-1.10,-1.11,2.15,5.54,5.53,2020/07/15 10:09
No.16,91.47,81.90,77.42,-1.16,-0.88,-0.97,1.83,5.61,5.84,2020/07/15 10:09
No.17,89.95,78.06,72.04,-1.65,-1.16,-1.24,-0.17,1.98,2.09,2020/07/15 10:09
No.18,91.02,77.62,70.86,-1.77,-1.08,-1.12,-0.35,2.13,2.53,2020/07/15 10:10
No.19,89.65,81.31,77.45,-1.61,-1.26,-1.41,2.91,5.75,6.09,2020/07/15 10:10
No.20,89.56,81.62,77.46,-1.40,-1.03,-1.11,3.61,6.27,6.80,2020/07/15 10:10
No.21,94.12,77.47,69.06,-1.62,-0.79,-0.78,-1.92,1.45,2.49,2020/07/15 10:10
No.22,90.24,78.00,73.74,-1.62,-1.13,-1.23,-0.76,1.26,1.66,2020/07/15 18:55
No.23,90.76,80.66,82.48,-0.93,-0.99,-1.35,2.20,4.71,5.95,2020/07/15 18:56
No.24,91.95,79.06,72.07,-1.59,-1.14,-1.11,-0.56,1.57,1.98,2020/07/15 18:56
No.25,94.82,68.45,46.85,0.07,0.49,1.13,2.60,1.62,2.11,2020/07/15 18:56
No.26,90.49,90.03,88.61,-0.98,-1.10,-1.22,1.37,1.39,1.32,2020/07/15 18:57
No.27,91.02,78.15,72.42,-2.03,-1.47,-1.56,-1.15,1.04,1.22,2020/07/15 18:57
No.28,91.20,81.61,73.93,-1.30,-1.07,-1.06,2.52,5.15,5.60,2020/07/15 18:57
No.29,90.56,81.25,76.74,-1.38,-1.06,-1.18,2.48,5.07,5.52,2020/07/15 18:58
No.30,90.31,78.60,76.05,-1.67,-1.11,-1.25,-0.63,1.25,1.77,2020/07/15 18:58
